,Quantity,Item Price,Shipping-Price,Total,Profit %,Profit (INR),Cost Price,clusters,cluster
3417,1,554.0,89.0,643.0,17,94.18,459.82,3,black
3418,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3419,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3420,1,625.0,89.0,714.0,13,81.25,543.75,3,black
3421,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3422,1,192.0,79.0,271.0,18,34.56,157.44,2,dark purple
3423,1,655.0,89.0,744.0,17,111.35,543.65,3,black
3424,1,612.0,79.0,691.0,13,79.56,532.44,3,black
3425,1,554.0,89.0,643.0,17,94.18,459.82,3,black
3426,1,959.0,79.0,1038.0,18,172.62,786.38,1,purple
3427,1,554.0,89.0,643.0,17,94.18,459.82,3,black
3428,1,320.0,79.0,399.0,17,54.4,265.6,0,pink
3429,1,91.0,89.0,180.0,18,16.38,74.62,2,dark purple
3430,1,379.0,89.0,468.0,13,49.27,329.73,0,pink
3431,1,355.0,79.0,434.0,17,60.35,294.65,0,pink
3432,3,1408.5,89.0,1497.5,13,183.105,1225.395,1,purple
3433,2,1440.0,89.0,1529.0,18,259.2,1180.8,1,purple
3434,1,554.0,89.0,643.0,17,94.18,459.82,3,black
3435,1,379.0,89.0,468.0,13,49.27,329.73,0,pink
3436,1,655.0,89.0,744.0,17,111.35,543.65,3,black
3437,1,554.0,89.0,643.0,17,94.18,459.82,3,black
3438,1,379.0,89.0,468.0,13,49.27,329.73,0,pink
3439,1,683.0,79.0,762.0,13,88.79,594.21,3,black
